# Backoff Power Limit Table (unit is 0.5 dBm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 2.4G Channel,CCK,,,,OFDM,,,,,,,HT20/VHT20,,,,,,,,,,,,,,,,,,,,HT40/VHT40,,,,,,,,,,,,,,,,,,,,VHT80,,,,,,,,,,,,,,,,,,,,VHT160,,,,,,,,,,,,,,,,,,,
,BF OFF,,,,BF OFF,,,,BF ON,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,,BF OFF,,,,,,,,,,BF ON,,,,,,,,,
Band: 2.4G,1T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T1ss,3T1ss,4T1ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss,1T1ss,2T1ss,3T1ss,4T1ss,2T2ss,3T2ss,4T2ss,3T3ss,4T3ss,4T4ss
Ch56,30,30,30,30,20.5,17.5,16,30,17.5,16,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch60,30,30,30,30,20.5,17.5,16,30,17.5,16,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch64,30,30,30,30,20.5,17.5,16,30,17.5,16,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch68,30,30,30,30,20.5,17.5,16,30,17.5,16,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch72,30,30,30,30,20.5,17.5,16,30,17.5,16,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch76,30,30,30,30,20.5,17.5,16,30,17.5,16,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch80,30,30,30,30,20.5,17.5,16,30,17.5,16,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch84,30,30,30,30,20.5,17.5,16,30,17.5,16,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch88,30,30,30,30,20.5,17.5,16,30,17.5,16,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
Ch92,30,30,30,30,20.5,17.5,16,30,17.5,16,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,20.5,17.5,16,30,17.5,16,30,16,30,30,20,14,11,30,17.5,14.5,30,16,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
